Date,Platform,Sentiment,Location,Engagements,Media_Type,Influencer_Brand,Post_Type
2024-02-04,YouTube,Positive,Denpasar,16841,Video,@kulinerhits | FrostiQ,Collab
2024-02-09,TikTok,Neutral,Bandung,5189,Video,@genzfoodie | FrostiQ,Behind the Scenes
2024-02-10,TikTok,Positive,Medan,3154,Text,@kulinerhits | FrostiQ,Product Launch
2024-02-07,X/Twitter,Neutral,Jakarta,7035,Text,@kulinerhits | FrostiQ,Collab
2024-02-14,YouTube,Negative,Makassar,987,Carousel,@genzfoodie | FrostiQ,Behind the Scenes
2024-02-11,Instagram,Positive,Medan,9139,Carousel,@kulinerhits | FrostiQ,Behind the Scenes
2024-02-13,X/Twitter,Neutral,Medan,14419,Text,@snackattack | FrostiQ,Review
2024-02-25,Instagram,Positive,Bandung,3856,Video,@genzfoodie | FrostiQ,Review
2024-02-26,TikTok,Positive,Surabaya,13117,Image,@genzfoodie | FrostiQ,Promo
2024-02-26,YouTube,Positive,Surabaya,6948,Image,@snackattack | FrostiQ,Behind the Scenes
2024-02-08,YouTube,Positive,Bandung,18093,Image,@tastebuds.id | FrostiQ,Behind the Scenes
2024-02-28,YouTube,Neutral,Yogyakarta,2131,Text,@snackattack | FrostiQ,Behind the Scenes
2024-02-28,Instagram,Neutral,Bandung,8263,Carousel,@kulinerhits | FrostiQ,Promo
2024-02-12,YouTube,Positive,Yogyakarta,3857,Text,@snackattack | FrostiQ,Review
2024-02-27,TikTok,Positive,Medan,5803,Carousel,@genzfoodie | FrostiQ,Promo
2024-02-22,TikTok,Positive,Medan,9872,Image,@genzfoodie | FrostiQ,Review
2024-02-11,Instagram,Positive,Medan,19134,Text,@snackattack | FrostiQ,Review
2024-02-06,Instagram,Positive,Bandung,13648,Carousel,@genzfoodie | FrostiQ,Review
2024-02-27,X/Twitter,Positive,Bandung,13969,Carousel,@snackattack | FrostiQ,Behind the Scenes
2024-02-12,TikTok,Neutral,Yogyakarta,3610,Text,@snackattack | FrostiQ,Product Launch
2024-02-12,Instagram,Positive,Bandung,3929,Video,@kulinerhits | FrostiQ,Behind the Scenes
2024-02-15,X/Twitter,Negative,Yogyakarta,918,Video,@drinkculture | FrostiQ,Product Launch
2024-02-03,TikTok,Positive,Denpasar,2537,Image,@kulinerhits | FrostiQ,Review
2024-02-13,YouTube,Neutral,Yogyakarta,8392,Image,@snackattack | FrostiQ,Collab
2024-02-16,Instagram,Neutral,Bandung,15516,Text,@tastebuds.id | FrostiQ,Promo
2024-02-09,X/Twitter,Positive,Jakarta,3924,Carousel,@tastebuds.id | FrostiQ,Promo
2024-02-20,YouTube,Positive,Yogyakarta,7442,Text,@kulinerhits | FrostiQ,Review
2024-02-03,YouTube,Neutral,Jakarta,9504,Text,@snackattack | FrostiQ,Behind the Scenes
2024-02-12,X/Twitter,Negative,Yogyakarta,14361,Carousel,@snackattack | FrostiQ,Behind the Scenes
2024-02-09,X/Twitter,Positive,Makassar,13621,Image,@drinkculture | FrostiQ,Product Launch
2024-02-17,Instagram,Negative,Makassar,6518,Image,@tastebuds.id | FrostiQ,Promo
2024-02-15,X/Twitter,Positive,Makassar,12691,Carousel,@snackattack | FrostiQ,Behind the Scenes
2024-02-12,X/Twitter,Positive,Medan,4367,Video,@genzfoodie | FrostiQ,Product Launch
2024-02-22,X/Twitter,Neutral,Yogyakarta,17254,Image,@snackattack | FrostiQ,Behind the Scenes
2024-02-03,X/Twitter,Positive,Yogyakarta,4440,Video,@snackattack | FrostiQ,Promo
2024-02-07,TikTok,Positive,Makassar,10932,Video,@tastebuds.id | FrostiQ,Promo
2024-02-04,TikTok,Positive,Bandung,7384,Video,@tastebuds.id | FrostiQ,Behind the Scenes
2024-02-07,X/Twitter,Neutral,Bandung,1780,Text,@snackattack | FrostiQ,Product Launch
2024-02-11,X/Twitter,Negative,Medan,6503,Video,@snackattack | FrostiQ,Promo
2024-02-13,Instagram,Neutral,Jakarta,3087,Image,@genzfoodie | FrostiQ,Promo
2024-02-18,X/Twitter,Neutral,Jakarta,567,Carousel,@genzfoodie | FrostiQ,Product Launch
2024-02-21,TikTok,Positive,Bandung,5244,Text,@kulinerhits | FrostiQ,Promo
2024-02-01,Instagram,Positive,Jakarta,2123,Image,@genzfoodie | FrostiQ,Promo
